[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
0,11/17/2020 11:29:59,01/01/2020,01/01/2020,Sunny,18,6,7,0,41,12,1024,2009,1,12
1,11/17/2020 11:30:39,01/01/2020,01/01/2020,Sunny,19,4,8,0,23,3,1019,2010,1,11.5
2,11/17/2020 11:31:16,01/01/2020,01/01/2020,Sunny,18,4,7,0,38,13,1018,2011,1,11
3,11/17/2020 11:31:52,01/01/2020,01/01/2020,Sunny,14,4,9,0,37,4,1023,2012,1,9
4,11/17/2020 11:32:38,01/01/2020,01/01/2020,Sunny,17,6,10,0,32,0,1017,2013,1,11.5
5,11/17/2020 11:34:29,01/02/2020,01/02/2020,Sunny,18,7,7,0,36,19,1019,2009,1,12.5
6,11/17/2020 11:34:50,01/02/2020,01/02/2020,Sunny,20,6,8,0,30,5,1019,2010,1,13
7,11/17/2020 11:35:09,01/02/2020,01/02/2020,,17,4,6,0,42,0,1016,2011,1,10.5
8,11/17/2020 11:35:28,01/02/2020,01/02/2020,Sunny,18,7,8,0,25,13,1019,2012,1,12.5
9,11/17/2020 11:35:52,01/02/2020,01/02/2020,Sunny,16,5,9,0,24,1,1017,2013,1,10.5
10,11/17/2020 11:38:21,01/02/2020,01/02/2020,Sunny,16,5,9,0,24,,1017,2013,1,10.5
11,11/17/2020 11:41:30,01/03/2020,01/03/2020,partly cloud,15,8,5,0.1,46,41,1019,2009,2,11.5
12,11/17/2020 11:41:45,01/03/2020,01/03/2020,partly cloud,16,5,5,0,36,39,1020,2010,2,
13,11/17/2020 11:41:59,01/03/2020,01/03/2020,Sunny,18,4,6,0,35,7,1019,2011,1,11
14,11/17/2020 11:42:14,01/03/2020,01/03/2020,Sunny,18,8,7,0,29,11,1017,2012,1,13
15,11/17/2020 11:42:31,01/03/2020,01/03/2020,Sunny,16,5,8,0,23,0,1018,2013,1,10.5
16,11/17/2020 11:44:18,01/04/2020,01/04/2020,partly cloud,15,8,7,0,54,27,1019,2009,2,11.5
17,11/17/2020 11:44:33,01/04/2020,01/04/2020,Sunny,18,4,8,0,44,1,1018,2010,1,11
18,11/17/2020 11:44:47,01/04/2020,01/04/2020,Sunny,17,4,8,0,26,1,1019,2011,1,10.5
19,11/17/2020 11:45:01,01/04/2020,01/04/2020,partly cloud,16,8,9,0.3,38,42,1018,2012,2,12
20,11/17/2020 11:47:06,01/04/2020,01/04/2020,Sunny,15,4,13,0,24,0,1019,2013,1,9.5
21,11/17/2020 11:47:54,01/05/2020,01/05/2020,Sunny,16,5,7,0,52,3,1017,2009,1,10.5
22,11/17/2020 11:48:09,01/05/2020,01/05/2020,Sunny,21,5,7,0,42,2,1014,2010,1,13
23,11/17/2020 11:48:23,01/05/2020,01/05/2020,Sunny,17,3,9,0,28,7,1019,2011,1,10
24,11/17/2020 11:48:37,01/05/2020,01/05/2020,partly cloud,15,8,8,0.3,49,37,1019,2012,2,11.5
25,11/17/2020 11:48:55,01/05/2020,01/05/2020,Sunny,15,4,9,0,26,0,1016,2013,1,9.5
26,11/17/2020 11:50:21,01/06/2020,01/06/2020,Sunny,16,5,7,0,52,3,1017,2009,1,10.5
27,11/17/2020 11:50:36,01/06/2020,01/06/2020,Sunny,21,5,7,0,42,2,1014,2010,1,13
28,11/17/2020 11:50:51,01/06/2020,01/06/2020,Sunny,17,3,9,0,28,7,1019,2011,1,10
29,11/17/2020 11:51:05,01/06/2020,01/06/2020,partly cloud,15,8,8,0.3,49,37,1019,2012,2,11.5
30,11/17/2020 11:51:23,01/06/2020,01/06/2020,Sunny,15,4,9,0,26,0,1016,2013,1,9.5
31,11/17/2020 11:53:08,01/06/2020,01/06/2020,Sunny,17,5,6,0,54,8,1018,2009,1,11
32,11/17/2020 11:53:38,01/06/2020,01/06/2020,Sunny,19,4,8,0,26,22,1020,2011,1,11.5
33,11/17/2020 11:53:52,01/06/2020,01/06/2020,partly cloud,14,7,10,1,52,45,1018,2012,2,10.5
34,11/17/2020 11:54:10,01/06/2020,01/06/2020,Sunny,15,4,9,0,26,0,1018,2013,1,9.5
35,11/17/2020 11:54:57,01/07/2020,01/07/2020,Sunny,17,5,6,0,55,4,1021,2009,1,11
36,11/17/2020 11:55:12,01/07/2020,01/07/2020,Sunny,21,7,8,0,26,9,1018,2010,1,14
37,11/17/2020 11:55:26,01/07/2020,01/07/2020,partly cloud,18,6,8,0,28,49,1019,2011,2,12
38,11/17/2020 11:55:40,01/07/2020,01/07/2020,Patchy,17,7,8,0.2,36,60,1019,2012,5,12
39,11/17/2020 11:56:45,01/08/2020,01/08/2020,Sunny,17,6,8,0,45,3,1024,2009,1,11.5
40,11/17/2020 11:57:00,01/08/2020,01/08/2020,Sunny,19,6,8,0,21,1,1018,2010,1,12.5
41,11/17/2020 11:57:15,01/08/2020,01/08/2020,Sunny,17,6,9,0,42,39,1017,2011,1,11.5
42,11/17/2020 11:57:29,01/08/2020,01/08/2020,Sunny,13,4,9,0,46,18,1023,2012,1,8.5
43,11/17/2020 11:57:47,01/08/2020,01/08/2020,Sunny,14,3,9,0,27,31,1020,2013,1,8.5
44,11/17/2020 11:58:34,01/09/2020,01/09/2020,Sunny,18,6,8,0,35,22,1024,2009,1,12
45,11/17/2020 11:58:49,01/09/2020,01/09/2020,Sunny,19,6,9,0,22,2,1018,2010,1,12.5
46,11/17/2020 11:59:03,01/09/2020,01/09/2020,Sunny,17,5,9,0,43,2,1018,2011,1,11
47,11/17/2020 11:59:17,01/09/2020,01/09/2020,partly cloud,17,6,9,1.1,39,46,1019,2012,2,11.5
48,11/17/2020 12:15:58,01/10/2020,01/10/2020,Sunny,23,10,8,0,28,1,1013,2009,1,16.5
49,11/17/2020 12:21:42,01/10/2020,01/10/2020,Sunny,23,10,8,0,28,1,1013,2009,1,16.5
50,11/17/2020 12:22:08,01/10/2020,01/10/2020,Sunny,26,10,8,0,17,0,1016,2010,1,18
51,11/17/2020 12:22:32,01/10/2020,01/10/2020,Sunny,,13,11,0,34,5,1015,2011,1,18.5
52,11/17/2020 12:22:56,01/10/2020,01/10/2020,Sunny,25,12,7,0,11,5,1017,2012,1,18.5
53,11/17/2020 12:23:26,01/10/2020,01/10/2020,partly cloud,23,11,8,0,17,33,1019,2013,2,17
54,11/17/2020 12:31:35,01/11/2020,01/11/2020,Sunny,18,6,6,0,35,21,1022,2009,1,12
55,11/17/2020 12:31:50,01/11/2020,01/11/2020,Sunny,20,4,7,0,21,0,1019,2010,1,12
