,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
0,2020-01-01,2009.0,Sunny,6.0,18.0,12.0,7.0,41.0,12.0,1024.0,0
1,2020-01-01,2010.0,Sunny,4.0,19.0,11.5,8.0,23.0,3.0,1019.0,0
2,2020-01-01,2011.0,Sunny,4.0,18.0,11.0,7.0,38.0,13.0,1018.0,0
3,2020-01-01,2012.0,Sunny,4.0,14.0,9.0,9.0,37.0,4.0,1023.0,0
4,2020-01-01,2013.0,Sunny,6.0,17.0,11.5,10.0,32.0,0.0,1017.0,0
5,2020-01-02,2009.0,Sunny,7.0,18.0,12.5,7.0,36.0,19.0,1019.0,0
6,2020-01-02,2010.0,Sunny,6.0,20.0,13.0,8.0,30.0,5.0,1019.0,0
8,2020-01-02,2012.0,Sunny,7.0,18.0,12.5,8.0,25.0,13.0,1019.0,0
9,2020-01-02,2013.0,Sunny,5.0,16.0,10.5,9.0,24.0,1.0,1017.0,0
11,2020-01-03,2009.0,partly cloud,8.0,15.0,11.5,5.0,46.0,41.0,1019.0,1
13,2020-01-03,2011.0,Sunny,4.0,18.0,11.0,6.0,35.0,7.0,1019.0,0
14,2020-01-03,2012.0,Sunny,8.0,18.0,13.0,7.0,29.0,11.0,1017.0,0
15,2020-01-03,2013.0,Sunny,5.0,16.0,10.5,8.0,23.0,0.0,1018.0,0
16,2020-01-04,2009.0,partly cloud,8.0,15.0,11.5,7.0,54.0,27.0,1019.0,0
17,2020-01-04,2010.0,Sunny,4.0,18.0,11.0,8.0,44.0,1.0,1018.0,0
18,2020-01-04,2011.0,Sunny,4.0,17.0,10.5,8.0,26.0,1.0,1019.0,0
19,2020-01-04,2012.0,partly cloud,8.0,16.0,12.0,9.0,38.0,42.0,1018.0,1
20,2020-01-04,2013.0,Sunny,4.0,15.0,9.5,13.0,24.0,0.0,1019.0,0
21,2020-01-05,2009.0,Sunny,5.0,16.0,10.5,7.0,52.0,3.0,1017.0,0
22,2020-01-05,2010.0,Sunny,5.0,21.0,13.0,7.0,42.0,2.0,1014.0,0
23,2020-01-05,2011.0,Sunny,3.0,17.0,10.0,9.0,28.0,7.0,1019.0,0
24,2020-01-05,2012.0,partly cloud,8.0,15.0,11.5,8.0,49.0,37.0,1019.0,1
25,2020-01-05,2013.0,Sunny,4.0,15.0,9.5,9.0,26.0,0.0,1016.0,0
26,2020-01-06,2009.0,Sunny,5.0,16.0,10.5,7.0,52.0,3.0,1017.0,0
27,2020-01-06,2010.0,Sunny,5.0,21.0,13.0,7.0,42.0,2.0,1014.0,0
28,2020-01-06,2011.0,Sunny,3.0,17.0,10.0,9.0,28.0,7.0,1019.0,0
29,2020-01-06,2012.0,partly cloud,8.0,15.0,11.5,8.0,49.0,37.0,1019.0,1
30,2020-01-06,2013.0,Sunny,4.0,15.0,9.5,9.0,26.0,0.0,1016.0,0
31,2020-01-06,2009.0,Sunny,5.0,17.0,11.0,6.0,54.0,8.0,1018.0,0
32,2020-01-06,2011.0,Sunny,4.0,19.0,11.5,8.0,26.0,22.0,1020.0,0
33,2020-01-06,2012.0,partly cloud,7.0,14.0,10.5,10.0,52.0,45.0,1018.0,1
34,2020-01-06,2013.0,Sunny,4.0,15.0,9.5,9.0,26.0,0.0,1018.0,0
35,2020-01-07,2009.0,Sunny,5.0,17.0,11.0,6.0,55.0,4.0,1021.0,0
36,2020-01-07,2010.0,Sunny,7.0,21.0,14.0,8.0,26.0,9.0,1018.0,0
37,2020-01-07,2011.0,partly cloud,6.0,18.0,12.0,8.0,28.0,49.0,1019.0,0
39,2020-01-08,2009.0,Sunny,6.0,17.0,11.5,8.0,45.0,3.0,1024.0,0
40,2020-01-08,2010.0,Sunny,6.0,19.0,12.5,8.0,21.0,1.0,1018.0,0
41,2020-01-08,2011.0,Sunny,6.0,17.0,11.5,9.0,42.0,39.0,1017.0,0
